OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT,geom,in_ocean
51470,2018-03-23 17:38:51+00:00,Megaptera novaeangliae,Humpback,5,36.761144,-121.920404,whale_alert,16017,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.920404 36.761144),,1
51596,2018-03-29 17:52:02+00:00,Delphinus capensis,Common Long-Beaked Dolphin,5,34.396678,-119.770296,spotter_pro,16103,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.770296 34.396678),,1
52041,2018-04-06 16:44:57+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,5,34.395821,-119.733975,spotter_pro,16251,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.733975 34.395821),,1
52037,2018-04-06 19:22:00+00:00,Megaptera novaeangliae,Humpback,5,36.68157,-121.86488,whale_alert,16248,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.86488 36.68157),,1
52099,2018-04-09 21:18:00+00:00,Delphinus capensis,Long-beaked Common Dolphin,5,34.15376,-119.34444,whale_alert,16297,,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.34444 34.15376),,1
52219,2018-04-17 20:01:04+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,5,34.405329,-119.767156,spotter_pro,16374,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.767156 34.405329),,1
52239,2018-04-18 17:03:15+00:00,Eubalaena,Right Whale,5,42.358002,-70.813004,whale_alert,16383,,HumanObservation,urn:lsid:marinespecies.org:taxname:159022,POINT (-70.81300400000001 42.358002),,1
52242,2018-04-18 19:27:53+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,5,34.394891,-119.734561,spotter_pro,16385,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.734561 34.394891),,1
52314,2018-04-23 21:17:43+00:00,Megaptera novaeangliae,Humpback,5,36.736516,-121.879478,whale_alert,16435,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.879478 36.736516),,1
52395,2018-04-28 19:00:00+00:00,Orcinus orca,Killer Whale (Orca),5,57.54478,-134.72302,whale_alert,16493,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-134.72302 57.54478),,1
52412,2018-04-29 22:25:53+00:00,Megaptera novaeangliae,Humpback,5,36.754155,-122.023024,whale_alert,16505,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.023024 36.754155),,1
52862,2018-05-07 19:44:35+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,5,34.401546,-119.752025,spotter_pro,16799,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.752025 34.401546),,1
52743,2018-05-15 16:13:12+00:00,Phocoena phocoena,Harbor Porpoise,5,36.618358,-121.899729,whale_alert,16720,,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-121.899729 36.618358),,1
52946,2018-05-21 20:00:00+00:00,Megaptera novaeangliae,Humpback,5,58.11751,-135.46117,whale_alert,16848,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-135.46117 58.11751),,1
56886,2018-05-23 15:11:23+00:00,Delphinus capensis,Long-beaked Common Dolphin,5,34.157468,-119.225037,whale_alert,19364,,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.225037 34.157468),,1
52952,2018-05-24 22:00:49+00:00,Megaptera novaeangliae,Humpback,5,36.782466,-121.853954,whale_alert,16851,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-121.853954 36.782466),,1
53271,2018-06-02 01:30:00+00:00,Orcinus orca,Killer Whale (Orca),5,48.581144,-122.763023,whale_alert,17028,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-122.763023 48.581144),,1
53280,2018-06-02 02:16:31+00:00,Orcinus orca,Killer Whale (Orca),5,48.605317,-122.83263,whale_alert,17036,,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-122.83263 48.605317),,1
53403,2018-06-06 19:04:31+00:00,Balaenoptera physalus,Fin Whale,5,34.109925,-119.615649,spotter_pro,17113,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137091,POINT (-119.615649 34.109925),,1
53467,2018-06-09 16:12:55+00:00,Megaptera novaeangliae,Humpback,5,58.7673,0,whale_alert,17159,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (0 58.7673),,1
53523,2018-06-12 02:00:00+00:00,Megaptera novaeangliae,Humpback,5,56.0761,-132.97501,whale_alert,17201,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-132.97501 56.0761),,1
53613,2018-06-14 19:44:33+00:00,Balaenoptera musculus,Blue Whale,5,34.099459,-119.586594,spotter_pro,17263,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.586594 34.099459),,1
53619,2018-06-14 23:29:17+00:00,Megaptera novaeangliae,Humpback,5,-34.0653,0,whale_alert,17266,,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (0 -34.0653),,1
53682,2018-06-16 19:52:00+00:00,Balaenoptera acutorostrata,Bottlenose Dolphin,5,34.115821,-119.675611,spotter_pro,17311,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.675611 34.115821),,1
